task_1,translated
1,Hare Ram Hare Ram Ram Ram Green Hare Hare Krishna Hare Krishna Krishna Krishna Green 1 
0,Gajab Bumrah Danda Gandh in Rubel 
0,"Vadra; Dear dear nowadays you are becoming busty day by day Priyanka; Bhosdike ... Ever seeing the Ilexan Releel, despite such a sincerity, the crowd of the village is pressed. "
0,Abe Bhadwa is how chewing is a pet dog 
0,What is the meaning of 'भोसड़ीवाला ' and 'भोसड़ीके' and how do I say it in English? by Mohan Kumar 
1,"Pics of the year old akela hi chala tha janib -e- manzil magar, log aate gaye #karwan banta gaya, alhamdu lillah @asadowaisi sahab ke karwan ki shuruwat ho gayi @imtiaz_jaleel @shaukat_aimim @bilaljaleel_ "
1,Rohit Sharma had scored a century tomorrow .... Now this big statement on Dhoni and Jadhav's slow innings http://wahcricket.com/news/ms-dhoni-kedar-jadhav-tried-to-hit-but- Couldnt-do-Because-of-Slow-Wicket-Says-Rohit-SHARMA-138756 ... 
1,"This Ramzan is not just the month of keeping the roses. While the month of worship is. Remember that your poor neighbors are Hindus or Muslims are not hungry. It is the right to pay zakat. Open the heart, do not have any empty hand from your house. Do not know the next Ramzan is a fortune or not. "
1,"When asked questions about Rohit asked 4 centuries in a World Cup, "
1,Commentate- What will you take in 'Man of the Match'? Imad Wasim-: Give me two roti 
1,"A Muslim person beaten the second Muslim Asgar Ali, got a meeting and forced 'Jai Shri Ram' and made the video. The video did not show its own face, the video became viral. Fake secular gang started abusing Hindus, now the pole has opened that Muslim. "
0,This childhood is not a young man 
1,"Why are you going to love Ishq? In front of Mahboob, they talk about breaking the moon. (Kabir-Balrampuri) "
1,"Jammu and Kashmir is an integral part of India and can not separate it from any country. I want to repeat again that @narendramodi is a policy of zero tolerance towards terrorism. Our government is committed to the development of Jammu, Kashmir and Ladakh's three areas: Home Minister Mr. @amitshah. "
1,"# CWC19 Mehbooba Mufti Bid, 'Hara India' due to Orange Jersey @bcci @mehboobamufti #indveng https://www.wahcricket.com/news/wc-2019-mehbooba-mufti-says-mehboBa-Indias-winning -Streak-138733 ... "
1,Is Bar To Har Gye Ho Abhi Tak Neta Ji Ki Waje Se Cm Bne The. Jab Se Neta Ji Ko Dur Kiya Hai Is bar to har gye hoabhi tak neta ji ki waje se cm bne the.jab Se Neta ji ko dur kiya hai ... 
0,This # Harami is the one who has killed # Tabrez Ansari. 
1,"Today, the whole country is worried about the aircraft ""disappointed"", but it is a matter of very ""regret"" that even after 3 days passed, ""Government"" is not able to tell, ""After all"" what happened. ..........? "
1,We are all ready to fight Samajwadi Party Jindabad Akhilesh Yadav Zindabad 
0,Dewar's cocks and chut fuck 14 720p 
1,"The congratulations of Savan, Mahaka is the sandal, sadness of Neer, that crazy of the autumn, I am feeling a sandalwood, I am screwed up # bracelet. # "
1,Every day the news of the pitters of Muslims from different parts of the country! There is peace in the country because India's Muslim is full confidence on the judge! Thank you once the country's Muslims in the country before 12 nights every day! 
1,Two lines for your dear friends .. !! Believe it is a 'relationship' of all of us .... !! Do not believe 'what do you think' 
1,Ballia reached after Salempur .. Today's Ballia Lok Sabha meeting ... @ BJP4DELHI @ BJP4UP 
1,Today's # Hindi____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________ You must all have # Hindi_____ zero tags. https://officeofhtl.com/book / zodiacal 
0,"# CWC19 Gautam Gambhir said, 'Karthik and Pant's batting like Dhoni were out of the team' @gautamgambhir @dineshkarthik @ rishabpant777 @msdhoni https://www.wahcricket.com/news/wc-2019-gautam-gambhir- Says-IF-PANT-AND KARTHIK-BATETED-LIKE-MS-DHONI-HE-CAN-NOT-PLAY-NEXT-MATCH-138810 ... "
1,"In the meeting of the Parliamentary Party, Prime Minister Narendra Modi told MPs to be present in the House: @rajivprataprudy. @ Siddharatha05 #ReporterDiary Other Video: http://bit.ly/indiatodaysocial ... "
0,Bhainchod had to ask the same day BSDK CAG SC had given Tau Clean Cheat not sure that Suwar 
1,"Samajwadi Party will get full seat from Uttar Pradesh, this is the pleasure to my God and God will fulfill my wishes and now the government of Akhilesh Bhaiya is my prayer from God. Good night Bhaiya ji Psychological "
1,"Jai Jai Jai Jai Jai Akhilesh . Jai Ho Teacher Sabha District President Auraiya, Professor (Doctor) Gajendra Yadav G. Jai Jai Jai Jai Jai Jai Jai Akhilesh .. Jai Ho Teachers Sabha District President Auraiya, Professor (Doctor) Gajendra Yadav ji ... "
1,"Starting from approximately Rs 13,000, the price is special. "
0,"90% of people had already knew that the rest of India will lose 10% people who are crying crying of saffron jersey, they were a member of the gang "
0,"Kinjal's fuck, "
0,"Companions, your garbage did not bend the country, it is possible that it is possible, garbage spin, Bangalgarh's Gand Chirki "
1,The truth in Pakistan is forbidden @mimansa_zee and @Sachinarorra # Country on 8:10 PM @Zeenews 
1,"Hari Namo Narayana Bhajan, heard the flock of devotees. #Hariom #Narayana #Radheradhe #jaishrikrishna #Jaishriram #Kalyug #ghanshyam #Kanhaiya #acharyapramodkrishnam @Acharyapramodk "
1,Now does not see what media 
1,"Many people have asked me why I went to Kedarnath, why I went to Kedarnath. Most people have led to political meaning. For myself, there was the opportunity to meet me: PM @Narendramodi #Mannkibaat "
1,Is Mumbai Nagaria ... #Extensionstudio @NJANAOMKASHYAP: http://bit.ly/chatwithanjana 
1,"Last night in Pune, how the wall and what is there, are telling the reporter @pkhelkar. #Reporterdiary Other Video: http://bit.ly/indiatodaysocial ... "
1,"@BJP4India If there was a need to include 17 hygiene castes in Scheduled Castes, then BJP had opposed the private member bill brought in the Rajya Sabha on April 26, 2015, if the BJP's intention is clear. "
1,"The prayers are okay everywhere, provided the person continued to fulfill the dictate of Allah. Prayer continued. "
0,"Lodu, he did it even Indian Understand your own? "
1,"This land is that the people who are competing from your bracelet make the color of the stolen sun, make the suns a gold. "
1,"Does Modi have Maharath Hansil in teasing politics? I am not the opposition that I am silent, I am a journalist and I will always question the government. See Sir @abhisar_sharma's great episode and must do RT "
1,The punishment of smiling lips has to suffer the eyes 
1,"With practical knowledge, the country's economy will focus on strengthening. This research will be of national and international importance, I hope that such schemes will play the role of catalyst in the socio-economic change of the country. "
1,"On the #Exitpoll of the media, BJP's tsunami is running, seeing me, I remember the loyalty of the dog of your Mehrbania film - G .... Yes "
0,"Hey, where did the Matherchod Kajri @arvindkejriwal died "
1,"He completely followed the rituals received from the maiden. He had indigenous items in his house. For his girls he used to call a teacher at home. From there, the sentiment of girl education in his mind and # Lakshmibai opened a girl school. "
1,"# On the Modi government and MP selected, I invite you and your friends in Manoj Tiwari thanks, which will start with fifth Poet, Mother Dairy, Gamadi from 2 June 7 AM. You will enjoy reaching from time to time @ BJP4delhi "
0,Husband wife boyfriend girlfriends just a more than one 
0,"Saala Bat, "
0,Nothing crap 
1,"After Satyendra Jain, the case of defamation was done against me, after the arguments of Mr. @Advashwanidubey, today the court has ordered to ban the notice against me in this case. "
1,Top Sir You are speaking like this in your rule. Toti Sir is no longer left to you 
1,"Rani Veerangna # Laxmibai of Jhansi, on Sunday "
0,Now swine puppies are not visible which are removing candle march 
1,"Four out of five terrorists were killed in the Pulwama attack, one arrested- Government #Pulwama https://abpnews.abplive.in/india-news/pulwama-attack-4-of-5 -Trrorists-involved-in -terror- ACT-KILLED-1-Arrested-GOVT-1158827 ... "
1,"The purpose of social justice decided to include 17 OBC castes in SC by the Samajwadi Party government in 2016. The High Court was hammered on March 29, 2017. Then why did the BJP late it to 2 years? "
1,"In the warriors who sacrificed their lives against the British, the name of Veerangana Maharani Laxmibai is considered to be the name. In 1857, he initiated India's freedom struggle. #Laxmi Bai "
0,These people are CRADE Randi 
1,"On the order of the Supreme Court, the work of knowing the statutory of girls in the orphanism of the country was given to an institution, the 9 states refused to get a board in which the BJP governments are due to the reason. "
1,"Like the Ramayana and Mahabharata, the serial can also be made on the Constitution, and seeing every citizen of India can understand its rights and duty. @ ANJUPRA7743 @AmbedkarManorma @ Sheetalsuryav10 @Karanwaltanu "
1,"The first time has happened when the accused of a terror has reached Parliament, how to show Pakistan to Pakistan? # Pragya_thakur @ bjp4india Same @Yadavakhilesh @reallyswara @lambaalka @Kanhaiyakumar @ yogita_singh13 @spdigitalForce @samajwadiparty @mpdharmendraydv @manojsinghkaka "
1,"Due to the strike of cleaning staff, it has become difficult to maintain cleanliness of the country's heritage Taj Mahal campus. Due to not getting salary in Uttar Pradesh, the cleaning staff are on strike. "
1,"Little story, big message Hello Sir, I am speaking from # old manhasham *, saw your dog's photo and advertisement in the newspaper that it has been disappeared, the dog of your house has come to our horror and your # parent * Playing with, you can come here and take your * # dog *. "
1,"You keep sitting in the house. Today, Hon'ble Hariom Yadav MLA is missing the statement of that day in which he said Samajadi people FB Do not sit and talk ... "
1,# BEDTET2011 Unemployed @Narendramodi @myogiadityanath This is how the dictator head of the country / state which is unemployed at # Bedtet2011's unemployed. .. @Amitshah @Drdineshbjp @Drmnpandeymp @ kpmaurya1 @rssorg @ swamy39 
1,"# Navjivan_Bulatin: In the Khai in Jammu, the death of 35 and Sex racket in Noida, four big news #NavjivanBulletin "
1,Social bangles and frank Payal Mohabbat are some of the beauty of ~ # Sahib 1 # bangle # Word # Hindi 
1,# Dogs and # Those who fight poultry etc. Behavan # 
1,"Sunday Morning - Inspection of public relations, pedestal and development work in my assembly "
0,Bhosadke Catway You will do the same with your niece niece. Or the goat will be shifted in your house 
1,"You will never forget, he remembers us .... !! Whenever you see it, then every time you are with us .. !! "
0,"Do not push to someone, do not enjoy drought dry matches! "
0,"But you are a scrub desperate who earns and lives in the country's defeat, like hijras. "
1,"Cm @myogiadityanath saved Meerut from becoming Karana, the registry of all the houses purchased by Namalis will be canceled. Hindus started coming back CCTV camera began. Adg Prashant Kumar and SP Nitin Tiwari reprimanded, Nitin has accepted that the migration has happened, not only Prahalad Nagar, 4 neighborhoods. "
1,"At the beginning of the meeting, many senior ministers congratulated PM @narendramodi by wearing a big flower garland. After a big defeat, a small chandan was also worn. "
1,"Yesterday I came to the post of a girl saying that ........ . . . . . . . . . . You did not do well with me gold, her babyfriend is still looking at her doubt ....... "
1,"The result has begun to get the responsibility before the result, Kejriwal gave the responsibility of his defeat to Muslims @Arvindkejriwal @roflfact @zakiralityagi @asadowaisi "
1,"A Muslim Mian got the second Muslim Asagal Ali, and forced 'Jai Shri Ram', the video made its own face in the video created video, the video became viral, the fake secular gang started abusing Hindus. Now the pole opened the police. Have arrested "
1,#Breaking Vijay Mallya relief from London's court - https://bit.ly/2xlyoxb #Atcard 
1,Youth a resident of Delhi came here to take a bath 
1,Madam can keep #kamalhaasan in this country but can not keep # Pragya_thakur because it is not free to tell one thing. 
0,"Clean clear speaking is a problem with the saffd saffron, at least the India team respects Bhosadi "
1,Parliament Live: Home Minister @Ammitshah introduced Jammu and Kashmir reservation amendment bill in the Rajya Sabha #Amitshah https://abpnews.abplive.in/india-news/parliament-Live-updates-amit-shah-table-bill-in- rajya-sabha-to-extend-president-rule-in-jammu-kashmir-1157811 ... 
0,"If this would have happened in a mosque then you will start crying, you will speak only for peace. "
1,Those who dreams are doing all .. They have to do much more https://www.facebook.com/162275933858912/posts/2271362029616948?sfns=mo ... 
0,"Last night at 12:00 pm, some Matherchod Mulites broke into a Durga temple in the Laliku area of Chandni Chowk and set the fire. Now no one will say .... Why? And if it was in a mosque, then the chest began to stand "
1,#Congress has been shown in #Congress after leaving the post of #congresspresident's #congress. More than 120 officials including Goa Congress President and Executive President of Delhi Congress have resigned from their post. 
1,It seems that in the last # thousands of # goddesses will be worshiped # 
1,"Send Yogi's New Ferrous, Top Officers List and Send Gel #uttarpradesh https://abpnews.abplive.in/uttar-pradesh/cm-yogi-adityanath-Oders-mation-of-district-level-teams-to-curb- Criminal-Activities-In-State-1157573 ... (Report- @Pankajjha_) "
1,Make school instead of collecting a temple and keep a teacher in school instead of keeping a priest in the temple! Country will become world master 
1,"Delhi-NCR people will get rid of summer soon, will give monsoon between three to 5 July "
0,"@Rhulgandhi: Sea Maji Satkali.Trey Mother's Bhose Bhainchod Bhadve Hijde: 1. Since the same tape plays, "
1,It is very important to be made for the case of success. Sahib ..! Given always burns to others ... do not burn from others ..! Good night tweets 
1,"Nanded Maharashtra: In front of the Nanded Collector Office, AIMI and deprived Bahujan Aghand performed in front of the Nanded Collector Office for the Inspired of the Tabraj Ansari, against the incidents of Mob Lynching and Jharkhand in the country. @asadowaisi @Prksh_ambedkar "
1,"Kaiske Saath Naya Gathbandhan Ka, Phale Congress Ke Saath Haare AB BSP Ke Saath.Naya Gathbandhan Kiske Saath.Waise Bhi You Are Nominated CM By Your Father Not Elected CM By Public "
1,Sukhalabad sufiyan babu .......... This is the only prayer from Allah Pakistan that you are also looking at me .... since I have seen my destination Never see milestones. @ sufiyanpratapg8 
1,"The possibility of rain in a few days in Delhi-Ahmedabad highway, 5 km long jam in Delhi "
0,"This is a child, the child, the woman, and the elderly, it is a Bhadwa, Broker, B C, "
0,This is a terrorist! 
0,"# If the word ""Mo-Modi 'is"" Modi', then he will sit in Perfect "
1,Thinking is the biggest influential weapon that both win and defeat are fixed. 
0,Your Landa has a lot of bat and roams the government officer. The house of brother-in-law will be born. Who you want to do 
0,You are the Pakistani bitch of Pakistan's bus Talawa Chat .. You are a Pakistani bitch ... dogs are also buffalar but you have pigeon ... 
1,Remember that he did not come alone. Remember that which came in the Mehfil and alone. #Brew @ Annupatel77 @ backwas1 @ lakshmipandit5 @ antshika_pandit0 @Anshikathakur_ @me_dishu @ pramodwadekar12 @Prernasiingh @Sengar_Krishan @Shernipunjabi @ nishi_thakur21 @chhitras 
0,"Mani Shankar said the truth, we keep him wrong. The person who does not respect others is worth saying #Shameonpmmodi @rahulgandhi @Priyankandi @incindia @incchhattisgarh @narendramodi @bhupeshbaghel @ts_singhdeo @ruchirac @divyaspandana @ruchirac "
1,"The same word is made for them # lowly, thinking and even from the brain # Gahil #abhoganyay # "
0,He is not looking at the name of an animal for 5 years. If you want to cry 
0,"Why blocked Bhosd's paper lion? Just unblock, do you look at whose asshole is there? @shrring "
0,"If accepted the greetings of the supporters, then the broker started pain in the stomach of the media. Saying that Bahubali is being weared garland, Hey 5 Murtaba MLAs and then MPs are represented, then it is all common. Keep shouting day night, no difference. "
1,"Fifty of Shakib, strong start of Bangladesh, score 150 cross https://bit.ly/2xvcuib "
1,"To earn two bread of hard work from Kashmir, Kashmiri is beaten by the poles. The goals are called patriots. Kashmir is ours but not Kashmiri ?? Tahajib's city is # Lucknow # Modi is possible. @Abbasalirushdi @ aqdas_shaikh_22 @bhimarmychief @shayarsalman "
1,Question hour in rajya sabha 1. Sanskrit College https://m.facebook.com/story.php?story_fbid=443161759855093&id=464554060349094 ... 
1,India will get Rafael Fighter aircraft till September this year 
0,"Seeing the above video, what was the blindfold here? "
0,The lund of this was dealt with. The root was bouncing was not killed again 
1,"We have to remove the solution of water crisis with the power, cooperation and resolution of 130 million countrymen. In the past, I wrote a letter to the villagers to discuss water accumulation with villagers, after that people resolved to accumulate one drop of water in the village: PM "
1,"If the color effect is so much that the skills do not matter and the team lost the match, then Mehboob ji also tell the color so that the stones can improve, so tell the color of Hindustan's food and Pak singing and take care of the country's fragment Goes By swearing I will send the clothes of those colors on my expense. "
1,"Honorable Mr. @PrakashJavdekar Greetings to become environment, forest and climate change and information and broadcast minister. "
0,"Keeping Kashmir, Karana, Meerut Hindus like this, you are the ostramurgo, because the habit of eating soil is what you have. "
1,Local people are in panic after this video becomes viral 
1,"'Talibani' thinking in Delhi's heart? Why a target on the temple in the parking fights? Resent on Jharkhand, silent on Delhi? Look, # Sadhaswal with 5 o'clock, @rubikaliyaquat "
1,People's anger on Sanjay Raut are also dividing because BMC has once again failed to assist people 
0,Seven days of fuck part 2 
1,Full Hyderabadi Laughing Boy @ Advisin BJP Spoke Person @ Shaukat_Amm @ Varispathan @Mim International @ Sayadasimwarkar @ Mimkarovasi 
0,"Seeing these bat, after taking the bag in hand, the strike rate should be finished 140 and the match should not be given a hand. "
0,The country is a little bit of your father. 
1,One question- What is the MP candidate whose defeat is more happy .. ??? I am very happy with the necklace # Kanhaiya_kumar ... and you .. ??? 
1,"Dr. Pauli's self-sufficiency, Dr. Kafil to beat the shoulder on the jail and Maharashtra, strike in Kolkata! Doctor or EVM? "
1,Please use the trunk for garbage ---- Thanks 
1,"Parliament is moving on the death of Tabaraj, but thousands of Hindu Muslim violence have not been stirred in the municipality ...? #Tabrez #tabrezansari #pehlukhan "
1,7 will have different meetings with MPs in PM Modi https://bit.ly/322Fhvq 
1,"In Kurla's Nehru Nagar area in Mumbai, water was filled in place. See these #reporterdiary of @Divyeshas Other Video: http://bit.ly/indiatodaySocial ... "
1,Happy wishes to become Hon'ble Mr. @amitshah ji to become a Home Minister. 
0,Your jihad will put it in your ass and remove it from the mouth ... 
0,"Who has done Katu in Delhi, if a Hindu would have started crying Randi's leader of all the brother-in-law of the country. "
0,"5-6 Jihadi Together 1 Hindu boy's mistake was just so much that he entered another house in the condition of intoxication and ran away from the girl's call. The case is the death of the Hindu boy, so the news did not come in the news, if the boy was Muslim, then for the trp on the news channel. "
1,"My condition is that both of you will come to a dozen seats, it is going to be proved right, continue hardworking twelve 250% success, Keep Going, BEST OF LUCK "
1,Aman Yadav We thank you from this comment we thank you from this comment ... 
1,"Sir is set and it will set Bihar like Gujarat, and in the field will be more than the Samajwadi Party. "
1,"Those who oppose in the name of the song are yours, to take accounting from Hindus who export ten big sacks of those countries, "
1,"# The big disclosure of the CAG- # Modi government 'hidden' four lakh crore rupees # spent and # debt. In the post of Chowk, # robs and # hide round. # Jeweler_Huto_Dego_BJP_BJP_ BHGO_DE_BRO @BBASALIRUSHDI @abdullahazammla "
1,"In the country, you are going to become a coalition government. To save democracy and constitution, congratulations to the people of the country by the people of the country. "
1,"You have 308 lamps, surely there is a number of Opposion but you have to say Godse and Mr. Hemant Karkare Murdabad: @ Adavisi "
0,Salea Randi's son will be silent in your mouth 
0,"# Sadhvi # Pragya, accused of terrorist attack, is also shameful to reach Parliament of Sadhvi # "
1,"After Bihar, now the havoc of shining fever in Assam, 28 children killed "
0,"Satharus, Suttheyan in Ayodhya, do not do Note here. "
0,"If your intention to end the Hindu civilization, then do suggest to your mother and sister to wear a bikini. भोसडीके "
0,Matherchod Mulle 
1,"Mumbai Rain: Child-hair left 167 people, sliding down the runway, 'SpiceJet' aircraft "
0,Gautam Gambhir Matherchod Do not forget to forget the respect of the place where it has come out. 
0,"When Mamta Banerjee made Priyanka to Priyanka, when Bengal Police had put in jail, the entire dially media was ruckus. And Mamta Banerjee and crappy begins? And today the journalist took a video to jail. All journalists have become hemorrhoids in the mouth. "
0,"Day Anjana Modi, tagging in a tweet, you do not have the courage to ask questions and anger is such a micon in the mouth of the doctor, like her house is going on due to your own earnings! "
1,India defeats Bangladesh by 28 runs in semi-finals https://bit.ly/2Xvcuib 
0,"Abe Bhosadi Whose Randi, you people eat brokali, ask him where money has come to him. "
0,Your family should be resolved in Pakistan like the whole family. Has given birth to you ??? 
0,"Now Islam is not in danger, all these materches are not allowed to settle around them. "
1,"The hopeful flame is burning, the fire of socialism is lazy, the decision of the youth will be decided to increase the speed of the Kanto, at the speed of karma, Akhilesh continued to get power from the black, the top of the coming era is you, You are burning the flame of the Run, you are burning, the fire of socialism is lazy, the decision of the youth will not be able to get the speed of the karma, the power of karma, You are the top of the coming era, you are Krishna, you are ... "
0,"a! Where do you run away from the Hindu? First Karana and now Meerut, in the slavery of 300 years, they have killed courage and courage, so you talk about secularism !!! Why do not you fight for religion and truth? This is eternal, this is the religion. "
1,Follow Aimim Uttarpradesh State President @ Shaukatali_77 Officials Social Media Accounts Facebook: Shaukat Ali Twitter: @ Shaukatali_77 Instagram: Shaukataliofficial Snapchat: Shaukatali77 
0,Mother of the Bhosari will reach the main of the series home 
0,"You cry in front of ur god  Of being deceived by the world    Some fine day u die  Reach hell    God tells you  You fucker or भोसडीके,  no one deceived you more than urself. "
1,Delhi: AAP MLA Som Dutt guilty agreement in terms of assault during election campaign #delhi https://abpnews.abplive.in/india-news/aap-mla-som-dutt-convicted-for-assaulting-man-1157565 ... 
0,All the green ones are very communal from inside. This was read a sample. They came to India in Arabs. #Sayyestojaishriram is #Sayyestojaishriram 
1,Those who do not mind Jai Shri Rama should not be hurt on Allah Hu Akbar. See the answer given by #dangal @Aajtak. @chitraaum @asadowaisi 
1,"Identify the hidden traitors at home, sometimes come in the form of stone, and sometimes come in the form of laminate gang Via Mynt "
0,"Kejriwal Government is giving a government job to the thief who killed the Public in Jharkhand, because he was a Muslim, because he was a Muslim, Dhruv Tyagi and Ankit Saxena took place in Delhi but they did not give them a rupee because they Are Hindus "
0,"Matherchod Bhane's Dunda @icc, put in the car loadu umpire "
1,The BJP welcomed the National Executive President Mr. @Jpnadda Ji on the second day of the executive of Delhi Pradesh. 
0,I do not support Jinnah's thinking. Muslims of India rejected Jinnah. I did not go Advani to praise Jinnah's grave. BJP is still unable to get out of splitting: #Aimim President Barrister Asaduddin Owaisi at #Shikharsammelan @asadowaisi 
0,"'I do not want anyone's jism, I do not care about anyone who went well, because I do not love any infidel Bhosadi' "
1,"Before lifting the ""EVM"" on the ""EVM"", ""resignation"" of all its 10 MPs, because BSP's journey is also completed by the same EVM to ""10"" from ""Zero"". "
1,"Bapu is embarrassed, your killer is still alive # "
1,"# Constitutionalist-Rahul meet, go to the goat of sacrifice? # From the churn ministers, # Rahul will get # Amrit? Will discuss, at 4 o'clock @abpnewshindi @abpnewstv "
1,"In the case of beating the bat of BJP MLA #akashvijayvargiy in Indore, #pmmodi has said that the son should be out of the party, such people should be out of the party. "
1,The Indian Air Force crashed has been tragic news to not survive any young man in AN-32. My emotional tribute to the Indian Air Force I express sensation to all the global families. 
1,"BJP legislator #surendrasingh from #balia has called 'Dalal' to 'Satan' and journalists. Speaking in the program held on Monday on Doctor Day, the MLA said that the government doctors are like Satan, who do not serve the poor. "
0,What is this bhadwa know about the king banquet 
1,"#Mehulchoksi Government Government reached the Supreme Court against the big shock, High Court's decision "
1,Sri Lankan captain Dimuth Karunatne against South Africa # ICCCRICKETWORLDCUP2019 #SLVSA 
1,"Zaira : I left films as they're against my reIigion    'Ok mam, so..'    Zaira : Wait, my manager is calling. *Hello? Mili? Kitni? 3! Wow! Ok bye.* Suno, I'll give interview later. I've to leave. Got new films.    'But u left films..'    Zaira : Wo to mera account hack ho gaya tha. Hehe. "
1,"LIVE: Kashmiri pods were pulled out of homes, their religious places broke. Kashmiri Pandit will worship in the temple of Kashmir - Home Minister @Ammitshah https://abpnews.abplive.in/live-tv "
0,"Normally when you hit someone with chappal, hitting precedes by some colloquial stuff like भोसड़ीके or something. It's like war cry "
1,"Why that MP The government does not look ""good"" government. "
0,"You Mullah Matherchod does your mother and sister, he is fine. "
1,"Instead of EVM instead of the Bat Paper, the government of the country is facing real danger to the country's democracy and the constitution. The trust of the public towards EVM has decreased to the worrisome level. In such a situation, if today's meeting had been convened to consider this fatal problem, then I must be involved in it. "
1,"Poison is also # failed ""Some people of # tongue "
0,"Moharchod is calling you to Pakistan and go with the entire family or the whole family, why do not you like Gautam Buddha in Pakistan? Will also make himself safe "
1,"'Attack' on Katrina Katrina on Delhi Airport! Aamir became 'Sadhu' to avoid controversy! Deepika, in the love of Papa, ignored husband! "
1,"In the past, Bihar's shining fever has been discussed. Such a situation in the modern era is a matter of sadness and embarrassment for all of us. In this misery situation, we are helping together with the state. In the clock of such a crisis, we have to save people: PM Modi. "
1,"Sri Lanka threw the third shock against West Indies, Mendis 39 runs out # ICCWORLDCUP2019 "
1,"MP: HC refuses to stop the shabby house, Sky Vijayvargiya was done for the same batting #akashvijayvargiya https://abpnews.abplive.in/MP-News/Madhya-Pradesh-hc-refuses-ban-on- Demolition-of-Shabby-House-In-Indore-1158952 ... "
1,Railways have stuck in three years 
0,"If there is a breath in Modi's ass, then make a carabble on those who insult 'Bande Mataram' in Parliament! Show carbing on Aubaisi and his brother who insult the country. "
1,The BSP is not only on the tweet that is not only those who are telling most knowledge and there are no cadre. 
1,"Akbar Sahib is very sick, we should all pray in the right of his brother. Rabe him Shifaya Kamla Ata Farma "
0,Desi fuck in Hindi - The girl's condition is bad with a big lund in the mare style in the hotel. Voice listening 63 secs 720p 
1,Every one # Boy's heart is the desire? ...... .. How many big # works will be # 
0,More than Dhoni tears the bullage .. the next match will play 
1,"A brother who was from OBC, was constantly posting against reservation, if there was a little logic, then all the posts have been deleted. @ Anjupra7743 "
1,"Stone throwing stone on the terrorist army in the valley, Kashmiri Pandit Amarnath every time attacking Section 375 and Article 35A Hurriyat's leader with the terrorists ..... and do not know what to do. "
1,"Neither a # girl's desire, nor was the emotion of # wiped .. Just 4 # was a bastard friend, and the #last was captured on the bench !! Miss you my friends for school life "
1,"Dr. Shyama Prasad Mukherjee, who did the work in his life, was very ahead of that time. Today, West Bengal and Kashmir are an integral part of India today. Desh Shyama Prasad Mukherjee will always remember the sacrifice - Mr. @jpnadda @manojtiwarimp "
0,"Hey Shukracharya Geera manager has just given a statement that a Facebook account of Jaara had hacked someone, which is being examined - now you will start rubbing insects in your backyard "
1,"Everyday crowd stone in Kashmir is not a mobe leching. Candle, Kendall March "
1,"Every governments have wasted money in the extravagant actions and if they do better facilities in the hospitals, the children do not die. "
1,"# Kamal esman is free to keep your thoughts, then why not # Pragya_thakur? Is there a lot of # expression in this country? "
1,Support and vote for coalition in Uttar Pradesh to prevent Ethish forces @Yasarshah_sp @DralVirashah @AqdasShaiKh_SP 
1,"The first president of the Nation Sevika Committee and the first president of the United States, 'aunt' # Lakshmibai Kelkar ji's birthday. "
0,"Vadande says, "
1,"The election can never be any problem in any democratic country nor is it appropriate to weigh the election expenses. The talk of 'one country, one election' in the country is actually attempting to divide attention from the national problems like poverty, inflation, unemployment, increasing violence. "
1,UP's 17 OBC castes decided to include in SC as unconstitutional center 
1,"Shiny fever: RJD display in assembly complex, stunning Yadav Nardad #biharencephalitisDeaths https://abpnews.abplive.in/bihar-news/aes-deaths-rjd-Protest-in-vidhan-sabha-yadav -Was-Not-Present-1158748 ... (Report- @ Kumarprakash4u) "
1,2 people killed by 2 people death by trapping the car in Malad Sub-Way in Mumbai #MumbairainSliveUpdates #MumbairainLive 
0,Wow Bhainchod Wow ... how many people are engaged to drop a man down ... the world is only a maternal ... 
1,The people of Delhi are ready to feed the lotus by seizing the bail of negativity in the next assembly elections - Mr. @Manojtiwarimp 
0,Terrorist # What proceedings @Mnarendramodi @Amitshah on # Pragya_thakur to tell patriots? Or will they change the issue by putting a curtain for this Hidden Agenda ?? #MECCAMASJIDBLAST #MECCAMASJID #MECCAMASJID 
1,"We do 'Jai Bhim' to educate people, burn the light of knowledge and wake up mutual bond. "
1,Court asked the petitioner to file a petition in Patna High Court 
1,"In 1975, today's democracy was killed for its political interests. His basic rights were snatched from the countrymen, locked on newspapers. Millions of nationalists have stated many torture to restore democracy. I bow to all those fighters. "
0,I came from Bhosdke cow protector 
0,Lund Khil Le Maa Chud Le Bosadi Bale Molavi 
0,So you are living the lives of Halala 
1,"On the day of 1858, Queen # Laxmibai had made his lifestyard on the freedom struggle for the sacrifice of your sacrifice. "
0,"In Pakistan elections, only 1000 coffin prepared in Lahore means thousands of people in Lahore have made it pre-preparation and some thunders say that there is good democracy from India in Pakistan. "
1,#DNA Test of Mumbai's 'Annual Dip' at 9pm @Sudhirchaudhary 
0,The number is a mother-in-law Dog Kejriwal 
1,"At night, the flowers will not even be tomb to the temple go to the morning? # Good_rahri "
1,Not only did Hafiz rejected the people of Pakistan to the candidates of their entire party. We gave victory to # Pragya_thakur. @ Kraval20 @ParulDrayka4 @abhayjotava @abhisar_sharma @lambaalka 
1,"Today, by taking the blessings of Voting Lord in Yamuna Vihar .. country's name .. #Delhimodikesaath "
